Category,Name,Companions,Avoid
VEG,Asparagus,Basil|Carrots|Coriander|Dill|Marigold|Parsley|Tomato
VEG,Beans,BrusselsSprouts|Carrots|Cauliflower|Cucumber|Chard|Corn|Eggplant|Kale|Peas|Potatoes|Radishes
VEG,BushBeans,Broccoli|Cabbage|Celery|Peas|Strawberries
VEG,Beets,Broccoli|BrusselsSprouts|Cabbage|Cauliflower|Chives|Garlic|Kohlrabi|Leeks|Lettuce|Onions||Radishes|Spinach
VEG,Broccoli,Basil|Beet|BushBeans|Carrots|Celery|chamomile|Chard||Cucumber|Dill|Garlic|Lettuce|Marigold|Mint|Nasturtium|Onion|Radish|Rosemary|Sage|Spinach|Thyme
VEG,BrusselsSprouts,Sprouts|Basil|Beets|Carrots|Dill|Garlic|Mint|Onion|Marigold|Nasturtium|Thyme
VEG,Cabbage,Beets|BushBeans|Celery|Chamomile|Dill|Marigold|Mint|Nasturtium|Onion|Oregano|Potato|Rosemary|Sage|Spearmint
VEG,Carrots,Beans|Chives|Garlic|Leek|Lettuce|Onion|Parsley|Rosemary|Tomato
VEG,Cauliflower,Beans|Celery|Chamomile|Oregano|Peas|Rosemary|SageSpinach|Sunflower|Tomato
VEG,Celery,BushBeans|Cabbage|Cosmos|Cucumber|Daisies|Dill|Leek|Marigolds|Marjoram|Nasturtiums|Snapdragons|Spinach|Tomato
VEG,Chives,Basil|Carrots|Marigold|Parsley|Parsnip|Strawberries|Tomato
VEG,Corn,Beans(climbing)|Cucumber|Marjoram|Peas|Pumpkin|Squash|Sunflower|Zucchini
VEG,Cucumber,Beans|Celery|Corn|Dill|Lettuce|Marigold|Nasturtium|Peas|Radish
VEG,Dill,Cabbage|Corn|Cucumbers|Fennel|Lettuce|Onions
VEG,Eggplant,Beans|Marjoram|Peppers|Potato
VEG,Kohlrabi,Beets|Cucumber|Lettuce|Nasturtium|Onions|Thyme
VEG,Leek,Carrots|Celery|Lettuce|Onions
VEG,Lettuce,Beans|Beets|Broccoli|Carrots|Corn|Onions|Marigold|Mint|Peas|Radish|Strawberries
VEG,Marigold,Broccoli|Cabbage|Cucumber|Kale|Peppers|Radish|Tomato
VEG,Onions,Beets|Cabbage|Carrots|Chamomile|Lettuce|Marjoram|Parsnips|Rosemary|Savory|Strawberry|Tomato
VEG,Parsley,Asparagus|Beans|Radish|Rosemary|Tomato
VEG,Peas,BushBeans|BrusselsSprouts|Cabbage|Carrots|Cauliflower|Celery|Corn|Cucumbers|Lettuce|Potatoes|Radishes|Sage|Squash
VEG,Potato,Basil|Beans|Celery|Corn|Garlic|Horseradish|Lettuce|Marigolds|Onions|Peas|Spinach|Radishes
VEG,Pumpkin,Beans|Corn|Marigold|Nasturtium|Squash
VEG,Radish,Beets|Cabbage|Carrots|Chives|Cucumber|Garlic|Kale|Leek|Lettuce|Onion|Spinach|Squash
VEG,Sage,Beans|Cabbage|Carrots|Peas|Rosemary|Strawberries
VEG,Spinach,Beans|Broccoli|BrusselsSprouts|Cabbage|Cauliflower|Celery|Eggplant|Kohlrabi|Leeks|Lettuce|Melons|Nasturtium|Peas|Potatoes|Radishes|Strawberries|Tomato
VEG,Squash,Beans|Borage|Corn|Dill|Marigolds|Nasturtium|Peas|Radish|Strawberries|Sunflower
VEG,Strawberries,Borage|BushBeans|Caraway|Chives|Lettuce|Onions||Sage|Spinach|Squash|
VEG,Tomato,Asparagus|Basil|Borage|Carrots|Celery|Chives|Garlic|Lettuce|Marigolds|Onion|Parsley|Spinach
VEG,Turnip,Peas
VEG,Zucchini,Beans|Borage|Corn|Dill|Garlic|Marigolds|Nasturtium|Oregano|Peas|Radishes|Spinach
HRB,Basil,Asparagus|Broccoli|BrusselsSprouts|Chives|Potato|Tomato
HRB,Borage,Squash|Strawberries|Tomato|Zucchini
HRB,Caraway,Strawberries
HRB,Chamomile,Broccoli|Cabbage|Cauliflower|Onion
HRB,Chard,Beans|Broccoli
HRB,Coriander,Asparagus
HRB,Cosmos,Celery
HRB,Daisies,Celery
HRB,Fennel,Dill
HRB,Garlic,Beets|Broccoli|BrusselsSprouts|Carrots|Potato|Radish|Tomato|Zucchini
HRB,Horseradish,Potato
HRB,Kale,Beans|Marigold|Radish
HRB,Marjoram,Celery|Corn|Eggplant|Onion
HRB,Melons,Spinach
HRB,Mint,Broccoli|BrusselsSprouts|Cabbage|Lettuce
HRB,Nasturtium,Broccoli|BrusselsSprouts|Cabbage|Celery|Cucumber|Kohlrabi|Pumpkin|Spinach|Squash|Zucchini
HRB,Oregano,Cabbage|Cauliflower|Zucchini
HRB,Parsnip,Cabbage|Cauliflower|Zucchini
HRB,Peppers,Eggplant|Marigold
HRB,Rosemary,Broccoli|Cabbage|Carrots|Cauliflower|Onion|Parsley|Sage
HRB,Savory,Onion
HRB,Snapdragons,Celery
HRB,Spearmint,Cabbage
HRB,Sunflower,Cauliflower|Corn|Squash
HRB,Thyme,Broccoli|BrusselsSprouts|Kohlrabi
